category,address,price
"LE PARVIS (appartements neufs 3 à 4 pièces)
Lille 59000 (Saint-Maurice - Pellevoisin)",Lille 59000 (Saint-Maurice - Pellevoisin),325 000 à 430 000 €
"Grafik (appartements neufs 2 à 3 pièces)
Lomme 59160 (Bourg - Délivrance)",Lomme 59160 (Bourg - Délivrance),163 000 à 245 000 €
"Appartement 1 pièce 31 m²
Lille 59000 (Centre-ville - Euralille)",Lille 59000 (Centre-ville - Euralille),131 000 €
"Appartement 2 pièces 48 m²
Lille 59000 (Moulins)",Lille 59000 (Moulins),170 000 €
"Appartement 3 pièces 71 m²
Lille 59000 (Centre-ville - Euralille)",Lille 59000 (Centre-ville - Euralille),232 000 €
"Appartement 2 pièces 59 m²
Lille 59000 (Wazemmes)",Lille 59000 (Wazemmes),259 000 €
"Montaigne (appartement neuf 4 pièces, 83 m²)
Lomme 59160 (Moulins)",Lomme 59160 (Moulins),345 400 €
"Appartement 2 pièces 60 m²
Lille 59000 (Wazemmes)",Lille 59000 (Wazemmes),217 000 €
"Appartement 1 pièce 27 m²
Lille 59800 (Saint-Maurice - Pellevoisin)",Lille 59800 (Saint-Maurice - Pellevoisin),122 000 €
"Maison 4 pièces 81 m²
Lille 59000 (Vauban - Esquermes)",Lille 59000 (Vauban - Esquermes),255 000 €
"Appartement 3 pièces 67 m²
Lille 59800 (Centre-ville - Euralille)",Lille 59800 (Centre-ville - Euralille),264 250 €
"Appartement 3 pièces 73 m²
Lille 59000 (Centre-ville - Euralille)",Lille 59000 (Centre-ville - Euralille),435 600 €
"Jules Verne (appartements neufs 2 à 5 pièces)
Lille 59000 (Lille-Sud)",Lille 59000 (Lille-Sud),113 550 à 209 345 €
"Appartement 1 pièce 20 m²
Lille 59000 (Vauban - Esquermes)",Lille 59000 (Vauban - Esquermes),94 900 €
"Maison 4 pièces 76 m²
Lille 59800 (Fives)",Lille 59800 (Fives),192 000 €
"Appartement 3 pièces 68 m²
Lille 59000 (Centre-ville - Euralille)",Lille 59000 (Centre-ville - Euralille),220 000 €
"Maison 4 pièces 150 m²
Lomme 59160 (Bourg - Délivrance)",Lomme 59160 (Bourg - Délivrance),360 000 €
"Appartement 3 pièces 55 m²
Lille 59000 (Faubourg de Béthune)",Lille 59000 (Faubourg de Béthune),117 000 €
"Appartement 3 pièces 62 m²
Lille 59000 (Fives)",Lille 59000 (Fives),189 000 €
"Maison 6 pièces 122 m²
Lomme 59160 (Bourg - Délivrance)",Lomme 59160 (Bourg - Délivrance),359 000 €
"Appartement 2 pièces 34 m²
Lille 59000 (Moulins)",Lille 59000 (Moulins),127 500 €
"Appartement 3 pièces 77 m²
Lille 59000 (Fives)",Lille 59000 (Fives),233 600 €
"Appartement 2 pièces 36 m²
Lille 59777 (Centre-ville - Euralille)",Lille 59777 (Centre-ville - Euralille),211 000 €
"Appartement 1 pièce 22 m²
Lille 59000 (Vieux Lille)",Lille 59000 (Vieux Lille),152 000 €
"Appartement 3 pièces 93 m²
Lille 59000 (Vauban - Esquermes)",Lille 59000 (Vauban - Esquermes),390 350 €
"Maison 7 pièces 125 m²
Hellemmes-Lille 59260 (Hellemmes - Barrière)",Hellemmes-Lille 59260 (Hellemmes - Barrière),294 000 €
"Appartement 3 pièces 66 m²
Lille 59000 (Faubourg de Béthune)",Lille 59000 (Faubourg de Béthune),210 000 €
"Appartement 3 pièces 74 m²
Hellemmes-Lille 59260 (Hellemmes Centre-ville - Pavé du Moulin)",Hellemmes-Lille 59260 (Hellemmes Centre-ville - Pavé du Moulin),274 000 €
"TOPAZE (appartement neuf 4 pièces, 83 m²)
Lomme 59160 (Bourg - Délivrance)",Lomme 59160 (Bourg - Délivrance),342 900 €
"Appartement 4 pièces 83 m²
Lomme 59160 (Mitterie)",Lomme 59160 (Mitterie),175 000 €
"Maison 4 pièces 65 m²
Lille 59000 (Fives)",Lille 59000 (Fives),189 000 €
"CONVERGENCE (appartements neufs 3 à 4 pièces)
Lille 59000 (Saint-Maurice - Pellevoisin)",Lille 59000 (Saint-Maurice - Pellevoisin),338 000 à 440 000 €
