Property type,Listing type,Locality,Number of rooms,Area,Price,Negotiable price,Per Square Meter,Latitude,Longitude
Appartement,Old Property,Centre_ville_Euralille,3,68,364000,No,5352.941176,50.634672,3.071724
Appartement,Old Property,Lille_Sud,4,90,347000,No,3855.555556,50.609095,3.040395
Appartement,Old Property,Wazemmes,2,48,188000,No,3916.666667,50.62383,3.047664
Appartement,Old Property,Saint_Maurice_Pellevoisin,2,46,180000,No,3913.043478,50.644111,3.087731
Studio,Old Property,Vauban_Esquermes,1,35,119350,No,3410,50.63005,3.042561
Appartement,Old Property,Bois_Blanc,3,65,274500,No,4223.076923,50.630383,3.026585
Appartement,Old Property,Moulins,2,45,176000,No,3911.111111,50.618989,3.066337
Studio,Old Property,Fives,1,14,52500,No,3750,50.628545,3.090331
Appartement,Old Property,Lille_Sud,2,43,155250,No,3610.465116,50.609095,3.040395
Appartement,Old Property,Fives,3,63,189000,No,3000,50.628545,3.090331
Appartement,Old Property,Vauban_Esquermes,1,17,91000,No,5352.941176,50.63005,3.042561
Appartement,Old Property,Wazemmes,2,50,200000,No,4000,50.62383,3.047664
Appartement,Old Property,Mont_à_Camp_Marais,3,83,199500,No,2403.614458,50.640847,3.010152
Maison,Old Property,Vauban_Esquermes,9,190,672000,No,3536.842105,50.63005,3.042561
Appartement,Old Property,Vieux_Lille,4,90,286500,No,3183.333333,50.642801,3.059485
Appartement,Old Property,Centre_ville_Euralille,2,42,177000,No,4214.285714,50.634672,3.071724
Maison,Old Property,Vauban_Esquermes,4,81,255000,No,3148.148148,50.63005,3.042561
Maison,Old Property,Wazemmes,3,75,199500,No,2660,50.62383,3.047664
Appartement,Old Property,Fives,3,96,243000,No,2531.25,50.628545,3.090331
Appartement,Old Property,Faubourg_de_Béthune,3,65,222450,No,3422.307692,50.616859,3.031243
Appartement,Old Property,Centre_ville_Euralille,2,43,199500,No,4639.534884,50.634672,3.071724
Studio,Old Property,Faubourg_de_Béthune,1,20,65000,No,3250,50.616859,3.031243
Appartement,Old Property,Fives,3,75,232900,No,3105.333333,50.628545,3.090331
Studio ,Old Property,Vauban_Esquermes,1,20,140000,No,7000,50.63005,3.042561
Appartement,Old Property,Hellemmes_,2,49,360000,No,7346.938776,50.629241,3.110993
Appartement,Old Property,Hellemmes_,1,20,109900,No,5495,50.629241,3.110993
Appartement,Old Property,Lille_Sud,3,71,239500,No,3373.239437,50.609095,3.040395
Maison,Old Property,Wazemmes,4,117,316500,No,2705.128205,50.62383,3.047664
Appartement,Old Property,Saint_Maurice_Pellevoisin,4,90,249000,No,2766.666667,50.644111,3.087731
Appartement,Old Property,Centre_ville_Euralille,4,110,394875,No,3589.772727,50.634672,3.071724
Appartement,Old Property,Sud_Marais,3,73,174900,No,2395.890411,50.628596,3.004442
Maison,Old Property,Centre_ville_Euralille,5,136,645000,No,4742.647059,50.634672,3.071724
Appartement,Old Property,Lille_Sud,5,110,298000,No,2709.090909,50.609095,3.040395
Appartement,Old Property,Saint_Maurice_Pellevoisin,4,92,236250,No,2567.934783,50.644111,3.087731
