category,nbr_rooms,area,Negotiable,price,Locality ,pincode,Type,address
"Appartement 3 pièces 96 m²
Lille 59000 (Fives)",3,96,No,243000,Fives,59000,Appartement,Lille 59000 (Fives)
"Appartement 3 pièces 65 m²
Lille 59000 (Faubourg de Béthune)",3,65,No,222450,Faubourg de Béthune,59000,Appartement,Lille 59000 (Faubourg de Béthune)
"Appartement 2 pièces 43 m²
Lille 59000 (Centre-ville - Euralille)",2,43,No,199500,Centre-ville - Euralille,59000,Appartement,Lille 59000 (Centre-ville - Euralille)
"Studio 20 m²
Lille 59000 (Faubourg de Béthune)",1,20,No,65000,Faubourg de Béthune,59000,Studio,Lille 59000 (Faubourg de Béthune)
"Appartement 3 pièces 75 m²
Lille 59800 (Fives)",3,75,No,232900,Fives,59800,Appartement,Lille 59800 (Fives)
"Studio
Lille 59800 (Vauban - Esquermes)",1,20,No,140000,Vauban - Esquermes,59800,Studio ,Lille 59800 (Vauban - Esquermes)
"Appartement 2 pièces 49 m²
Lille 59000 (Hellemmes Centre-ville - Pavé du Moulin)",2,49,No,360000,Hellemmes ,59000,Appartement,Lille 59000 (Hellemmes Centre-ville - Pavé du Moulin)
"Appartement 1 pièce 20 m²
Lille 59000 (Hellemmes Guinguette)",1,20,No,109900,Hellemmes ,59000,Appartement,Lille 59000 (Hellemmes Guinguette)
"Appartement 3 pièces 71 m²
Lille 59000 (Lille-Sud)",3,71,No,239500,Lille-Sud,59000,Appartement,Lille 59000 (Lille-Sud)
"Maison 4 pièces 117 m²
Lille 59000 (Wazemmes)",4,117,No,316500,Wazemmes,59000,Maison,Lille 59000 (Wazemmes)
"Appartement 4 pièces 90 m²
Lille 59000 (Saint-Maurice - Pellevoisin)",4,90,No,249000,Saint-Maurice - Pellevoisin,59000,Appartement,Lille 59000 (Saint-Maurice - Pellevoisin)
"Appartement 4 pièces 110 m²
Lille 59800 (Centre-ville - Euralille)",4,110,No,394875,Centre-ville - Euralille,59800,Appartement,Lille 59800 (Centre-ville - Euralille)
"Appartement 3 pièces 73 m²
Lille 59160 (Sud Marais)",3,73,No,174900,Sud Marais,59160,Appartement,Lille 59160 (Sud Marais)
"Maison 5 pièces 136 m²
Lille 59000 (Centre-ville - Euralille)",5,136,No,645000,Centre-ville - Euralille,59000,Maison,Lille 59000 (Centre-ville - Euralille)
"Appartement 5 pièces 110 m²
Lille 59000 (Lille-Sud)",5,110,No,298000,Lille-Sud,59000,Appartement,Lille 59000 (Lille-Sud)
"Appartement 4 pièces 92 m²
Lille 59000 (Saint-Maurice - Pellevoisin)",4,92,No,236250,Saint-Maurice - Pellevoisin,59000,Appartement,Lille 59000 (Saint-Maurice - Pellevoisin)
"Appartement 3 pièces 70 m²
Lille 59800 (Saint-Maurice - Pellevoisin)",3,70,No,252000,Saint-Maurice - Pellevoisin,59800,Appartement,Lille 59800 (Saint-Maurice - Pellevoisin)
"Duplex 4 pièces 77 m²
Lille 59000 (Lille-Sud)",4,77,No,238000,Lille-Sud,59000,VILLA,Lille 59000 (Lille-Sud)
"Duplex 4 pièces 92 m²
Lille 59000 (Lille-Sud)",4,92,No,266000,Lille-Sud,59000,VILLA,Lille 59000 (Lille-Sud)
"Appartement 4 pièces 87 m²
Lille 59000 (Lille-Sud)",4,87,No,311000,Lille-Sud,59000,Appartement,Lille 59000 (Lille-Sud)
"Appartement 2 pièces 41 m²
Lille 59000 (Centre-ville - Euralille)",2,41,No,165500,Centre-ville - Euralille,59000,Appartement,Lille 59000 (Centre-ville - Euralille)
"Appartement 2 pièces 50 m²
Lille 59000 (Wazemmes)",2,50,No,220500,Wazemmes,59000,Appartement,Lille 59000 (Wazemmes)
"Appartement 3 pièces 113 m²
Lille 59800 (Vieux Lille)",3,113,No,638495,Vieux Lille,59800,Appartement,Lille 59800 (Vieux Lille)
"Maison 5 pièces 150 m²
Lomme 59160 (Mitterie)",5,150,No,259900,Mitterie,59160,Maison,Lomme 59160 (Mitterie)
"Appartement 2 pièces 59 m²
Lille 59000 (Wazemmes)",2,59,No,259000,Wazemmes,59000,Appartement,Lille 59000 (Wazemmes)
"Appartement 3 pièces 71 m²
Lille 59000 (Centre-ville - Euralille)",3,71,No,232000,Centre-ville - Euralille,59000,Appartement,Lille 59000 (Centre-ville - Euralille)
"Appartement 3 pièces 81 m²
Lille 59000 (Mont à Camp - Marais)",3,81,No,259000,Mont à Camp - Marais,59000,Appartement,Lille 59000 (Mont à Camp - Marais)
"Appartement 1 pièce 12 m²
Lille 59000 (Wazemmes)",1,12,No,99600,Wazemmes,59000,Appartement,Lille 59000 (Wazemmes)
"Maison 4 pièces 120 m²
Lomme 59160 (Sud Marais)",4,120,No,222450,Sud Marais,59160,Maison,Lomme 59160 (Sud Marais)
"Appartement 4 pièces 100 m²
Lille 59800 (Centre-ville - Euralille)",4,100,No,443500,Centre-ville - Euralille,59800,Appartement,Lille 59800 (Centre-ville - Euralille)
"Appartement 3 pièces 62 m²
Lille 59260 (Hellemmes Centre-ville - Pavé du Moulin)",3,62,No,145800,Hellemmes ,59260,Appartement,Lille 59260 (Hellemmes Centre-ville - Pavé du Moulin)
"Appartement 1 pièce 32 m²
Lille 59800 (Centre-ville - Euralille)",1,32,No,134817,Centre-ville - Euralille,59800,Appartement,Lille 59800 (Centre-ville - Euralille)
"Maison 7 pièces 185 m²
Lomme 59160 (Bois Blanc)",7,185,No,584000,Bois Blanc,59160,Maison,Lomme 59160 (Bois Blanc)
"Appartement 1 pièce
Lille 59800 (Fives)",1,15,No,56500,Fives,59800,Appartement,Lille 59800 (Fives)
"Appartement 3 pièces 63 m²
Lille 59000 (Vauban - Esquermes)",3,63,No,180000,Vauban - Esquermes,59000,Appartement,Lille 59000 (Vauban - Esquermes)
"Appartement 2 pièces 40 m²
Lomme 59160 (Bourg - Délivrance)",2,40,No,148500,Bourg - Délivrance,59160,Appartement,Lomme 59160 (Bourg - Délivrance)
"Maison 7 pièces 185 m²
Lille 59000 (Bois Blanc)",7,185,No,584000,Bois Blanc,59000,Maison,Lille 59000 (Bois Blanc)
"Maison 5 pièces 105 m²
Lille 59000 (Fives)",5,105,No,295000,Fives,59000,Maison,Lille 59000 (Fives)
"Maison 5 pièces 105 m²
Lille 59000 (Fives)",5,105,No,295000,Fives,59000,Maison,Lille 59000 (Fives)
"Maison 3 pièces 40 m²
Lille 59000 (Bois Blanc)",3,40,No,119900,Bois Blanc,59000,Maison,Lille 59000 (Bois Blanc)
"Appartement 2 pièces 40 m²
Lomme 59160 (Mitterie)",2,40,No,107000,Mitterie,59160,Appartement,Lomme 59160 (Mitterie)
"Appartement 1 pièce 17 m²
Lille 59000 (Moulins)",1,17,No,78500,Moulins,59000,Appartement,Lille 59000 (Moulins)
"Appartement 2 pièces 35 m²
Lille 59000 (Moulins)",2,35,No,109000,Moulins,59000,Appartement,Lille 59000 (Moulins)
"Appartement 1 pièce 33 m²
Lille 59000 (Centre-ville - Euralille)",1,33,No,241726,Centre-ville - Euralille,59000,Appartement,Lille 59000 (Centre-ville - Euralille)
"Appartement 4 pièces 74 m²
Lille 59000 (Centre-ville - Euralille)",4,74,No,358400,Centre-ville - Euralille,59000,Appartement,Lille 59000 (Centre-ville - Euralille)
"Appartement 3 pièces 118 m²
Lille 59000 (Centre-ville - Euralille)",3,118,No,778590,Centre-ville - Euralille,59000,Appartement,Lille 59000 (Centre-ville - Euralille)
"Appartement 12 pièces 184 m²
Lille 59000 (Centre-ville - Euralille)",12,184,No,1097000,Centre-ville - Euralille,59000,Appartement,Lille 59000 (Centre-ville - Euralille)
"Appartement 3 pièces 65 m²
Lille 59000 (Centre-ville - Euralille)",3,65,No,208000,Centre-ville - Euralille,59000,Appartement,Lille 59000 (Centre-ville - Euralille)
"Studio 29 m²
Lille 59000 (Fives)",1,29,No,177500,Fives,59000,Studio,Lille 59000 (Fives)
"Appartement 2 pièces 42 m²
Lille 59000 (Fives)",2,42,No,252400,Fives,59000,Appartement,Lille 59000 (Fives)
"Appartement 3 pièces 82 m²
Lille 59000 (Vauban - Esquermes)",3,82,No,299000,Vauban - Esquermes,59000,Appartement,Lille 59000 (Vauban - Esquermes)
"Appartement 3 pièces 95 m²
Lille 59000 (Saint-Maurice - Pellevoisin)",3,95,No,340000,Saint-Maurice - Pellevoisin,59000,Appartement,Lille 59000 (Saint-Maurice - Pellevoisin)
"Appartement 3 pièces 73 m²
Lille 59000 (Fives)",3,73,No,423600,Fives,59000,Appartement,Lille 59000 (Fives)
"Appartement 3 pièces 73 m²
Lille 59000 (Vauban - Esquermes)",3,73,No,435300,Vauban - Esquermes,59000,Appartement,Lille 59000 (Vauban - Esquermes)
"Appartement 4 pièces 85 m²
Lille 59000 (Lille-Sud)",4,85,No,335000,Lille-Sud,59000,Appartement,Lille 59000 (Lille-Sud)
"Appartement 1 pièce 29 m²
Lille 59000 (Moulins)",1,29,No,122000,Moulins,59000,Appartement,Lille 59000 (Moulins)
"Appartement 2 pièces 43 m²
Lille 59000 (Saint-Maurice - Pellevoisin)",2,43,No,152000,Saint-Maurice - Pellevoisin,59000,Appartement,Lille 59000 (Saint-Maurice - Pellevoisin)
"Appartement 4 pièces 85 m²
Lomme 59160 (Vieux Lille)",4,85,No,196000,Vieux Lille,59160,Appartement,Lomme 59160 (Vieux Lille)
"Appartement 3 pièces 65 m²
Lille 59000 (Lille-Sud)",3,65,No,200450,Lille-Sud,59000,Appartement,Lille 59000 (Lille-Sud)
"Appartement 3 pièces 72 m²
Lille 59000 (Centre-ville - Euralille)",3,72,No,289246,Centre-ville - Euralille,59000,Appartement,Lille 59000 (Centre-ville - Euralille)
"RESIDENCE QWEST HELLEMMES (appartements neufs 2 à 4 pièces)
Hellemmes-Lille 59260 (Hellemmes Centre-ville - Pavé du Moulin)",3,45,Yes,250500,Hellemmes ,59260,Appartement,Hellemmes-Lille 59260 (Hellemmes Centre-ville - Pavé du Moulin)
"Green Square (appartements neufs 2 à 5 pièces)
Lille 59000 (Lille-Sud)",3,42,Yes,192388.5,Lille-Sud,59000,Appartement,Lille 59000 (Lille-Sud)
"Appartement 4 pièces 67 m²
Lille 59000 (Lille-Sud)",4,67,No,213000,Lille-Sud,59000,Appartement,Lille 59000 (Lille-Sud)
"Appartement 3 pièces 105 m²
Lille 59000 (Vieux Lille)",3,105,No,530000,Vieux Lille,59000,Appartement,Lille 59000 (Vieux Lille)
